Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit
1,6/21/22,12:13:32,1.3,T1 KTemp C,0.9,T2 KTemp C,0.8,T3 KTemp C,0.7,T4 KTemp C
2,6/21/22,12:14:32,1.3,T1 KTemp C,0.9,T2 KTemp C,0.8,T3 KTemp C,0.7,T4 KTemp C
3,6/21/22,12:15:32,1.3,T1 KTemp C,0.9,T2 KTemp C,0.9,T3 KTemp C,0.8,T4 KTemp C
4,6/21/22,12:16:32,1.2,T1 KTemp C,0.8,T2 KTemp C,0.8,T3 KTemp C,0.7,T4 KTemp C
5,6/21/22,12:17:32,1.2,T1 KTemp C,0.8,T2 KTemp C,0.8,T3 KTemp C,0.7,T4 KTemp C
6,6/21/22,12:18:32,1.3,T1 KTemp C,0.9,T2 KTemp C,0.8,T3 KTemp C,0.8,T4 KTemp C
7,6/21/22,12:19:32,1.4,T1 KTemp C,0.9,T2 KTemp C,0.8,T3 KTemp C,1,T4 KTemp C
8,6/21/22,12:20:32,1.3,T1 KTemp C,0.9,T2 KTemp C,0.8,T3 KTemp C,0.9,T4 KTemp C
9,6/21/22,12:21:32,1.3,T1 KTemp C,0.9,T2 KTemp C,0.8,T3 KTemp C,0.9,T4 KTemp C
10,6/21/22,12:22:32,1.3,T1 KTemp C,0.9,T2 KTemp C,0.8,T3 KTemp C,1,T4 KTemp C
11,6/21/22,12:23:32,1.3,T1 KTemp C,0.9,T2 KTemp C,0.9,T3 KTemp C,1,T4 KTemp C
12,6/21/22,12:24:32,1.2,T1 KTemp C,0.8,T2 KTemp C,0.8,T3 KTemp C,1,T4 KTemp C
13,6/21/22,12:25:32,1.2,T1 KTemp C,0.8,T2 KTemp C,0.8,T3 KTemp C,0.9,T4 KTemp C
14,6/21/22,12:26:32,1.2,T1 KTemp C,0.8,T2 KTemp C,0.8,T3 KTemp C,1,T4 KTemp C
15,6/21/22,12:27:32,1.3,T1 KTemp C,0.8,T2 KTemp C,0.8,T3 KTemp C,1,T4 KTemp C
16,6/21/22,12:28:32,1.3,T1 KTemp C,0.8,T2 KTemp C,0.8,T3 KTemp C,0.9,T4 KTemp C
17,6/21/22,12:29:32,1.3,T1 KTemp C,0.9,T2 KTemp C,0.8,T3 KTemp C,0.8,T4 KTemp C
18,6/21/22,12:30:32,1.4,T1 KTemp C,0.8,T2 KTemp C,0.8,T3 KTemp C,0.8,T4 KTemp C
19,6/21/22,12:31:32,1.4,T1 KTemp C,0.9,T2 KTemp C,0.8,T3 KTemp C,0.8,T4 KTemp C
20,6/21/22,12:32:32,1.6,T1 KTemp C,0.8,T2 KTemp C,0.8,T3 KTemp C,0.8,T4 KTemp C
21,6/21/22,12:33:32,1.6,T1 KTemp C,0.9,T2 KTemp C,0.8,T3 KTemp C,5.6,T4 KTemp C
22,6/21/22,12:34:32,2,T1 KTemp C,0.9,T2 KTemp C,0.8,T3 KTemp C,1,T4 KTemp C
23,6/21/22,12:35:32,4.3,T1 KTemp C,0.9,T2 KTemp C,0.9,T3 KTemp C,2.4,T4 KTemp C
24,6/21/22,12:36:32,7.6,T1 KTemp C,0.9,T2 KTemp C,1,T3 KTemp C,1.2,T4 KTemp C
25,6/21/22,12:37:32,7.7,T1 KTemp C,1,T2 KTemp C,1.2,T3 KTemp C,7.6,T4 KTemp C
26,6/21/22,12:38:32,1.3,T1 KTemp C,1,T2 KTemp C,3.6,T3 KTemp C,7.7,T4 KTemp C
27,6/21/22,12:39:32,1.2,T1 KTemp C,1,T2 KTemp C,4.2,T3 KTemp C,7.3,T4 KTemp C
28,6/21/22,12:40:32,1.6,T1 KTemp C,1.1,T2 KTemp C,3.2,T3 KTemp C,5.3,T4 KTemp C
29,6/21/22,12:41:32,8.2,T1 KTemp C,8.2,T2 KTemp C,6.9,T3 KTemp C,7.3,T4 KTemp C
30,6/21/22,12:42:32,7,T1 KTemp C,7.7,T2 KTemp C,7.1,T3 KTemp C,7.7,T4 KTemp C
31,6/21/22,12:43:32,4,T1 KTemp C,7.5,T2 KTemp C,9.2,T3 KTemp C,7.5,T4 KTemp C
32,6/21/22,12:44:32,9.1,T1 KTemp C,7.1,T2 KTemp C,8.3,T3 KTemp C,6.7,T4 KTemp C
33,6/21/22,12:45:32,9.2,T1 KTemp C,7.2,T2 KTemp C,7.7,T3 KTemp C,7.6,T4 KTemp C
34,6/21/22,12:46:32,9,T1 KTemp C,5.3,T2 KTemp C,5.5,T3 KTemp C,7.8,T4 KTemp C
35,6/21/22,12:47:32,9.4,T1 KTemp C,8,T2 KTemp C,8.1,T3 KTemp C,7.9,T4 KTemp C
36,6/21/22,12:48:32,9.4,T1 KTemp C,8.5,T2 KTemp C,8.8,T3 KTemp C,8.1,T4 KTemp C
37,6/21/22,12:49:32,9.8,T1 KTemp C,8,T2 KTemp C,8.5,T3 KTemp C,8,T4 KTemp C
38,6/21/22,12:50:32,9.9,T1 KTemp C,8.6,T2 KTemp C,8.5,T3 KTemp C,8.3,T4 KTemp C
